time,action,target_price,target_volume,trade_price,trade_volume,status,flag
2018-09-01 03:00:00,buy,2.3,42.7,-1.0,0.0,未成交,0
2018-09-02 03:00:00,buy,2.3,47.5,-1.0,0.0,未成交,0
2018-09-03 03:00:00,buy,2.3,56.8,-1.0,0.0,未成交,0
2018-09-04 03:00:00,buy,2.3,40.1,-1.0,0.0,未成交,0
2018-09-05 03:00:00,buy,2.3,38.7,-1.0,0.0,未成交,0
2018-09-06 03:00:00,buy,2.3,38.9,-1.0,0.0,未成交,0
2018-09-07 03:00:00,buy,2.3,26.9,-1.0,0.0,未成交,0
2018-09-08 03:00:00,buy,2.3,30.4,-1.0,0.0,未成交,0
2018-09-09 03:00:00,buy,2.3,38.2,-1.0,0.0,未成交,0
2018-09-10 03:00:00,buy,2.3,17.6,-1.0,0.0,未成交,0
2018-09-11 03:00:00,buy,2.3,17.8,-1.0,0.0,未成交,0
2018-09-12 03:00:00,buy,2.3,46.3,-1.0,0.0,未成交,0
2018-09-13 03:00:00,buy,2.3,40.3,-1.0,0.0,未成交,0
2018-09-14 03:00:00,buy,2.3,40.7,-1.0,0.0,未成交,0
2018-09-15 03:00:00,buy,2.3,50.6,-1.0,0.0,未成交,0
2018-09-16 03:00:00,buy,2.3,28.0,-1.0,0.0,未成交,0
2018-09-17 03:00:00,buy,2.3,34.4,-1.0,0.0,未成交,0
2018-09-18 03:00:00,buy,2.3,20.9,-1.0,0.0,未成交,0
2018-09-19 03:00:00,buy,2.3,21.6,-1.0,0.0,未成交,0
2018-09-20 03:00:00,buy,2.3,29.2,-1.0,0.0,未成交,0
2018-09-21 03:00:00,buy,2.3,34.0,-1.0,0.0,未成交,0
2018-09-22 03:00:00,buy,2.3,40.6,-1.0,0.0,未成交,0
2018-09-23 03:00:00,buy,2.3,23.3,-1.0,0.0,未成交,0
2018-09-24 03:00:00,buy,2.3,25.1,-1.0,0.0,未成交,0
2018-09-25 03:00:00,buy,2.3,32.1,-1.0,0.0,未成交,0
2018-09-26 03:00:00,buy,2.3,26.1,-1.0,0.0,未成交,0
2018-09-27 03:00:00,buy,2.3,26.5,-1.0,0.0,未成交,0
2018-09-28 03:00:00,buy,2.3,19.2,-1.0,0.0,未成交,0
2018-09-29 03:00:00,buy,2.3,22.8,-1.0,0.0,未成交,0
2018-09-30 03:00:00,buy,2.3,24.8,-1.0,0.0,未成交,0
2018-09-01 03:00:00,buy,2.3,31.3,-1.0,0.0,未成交,1
2018-09-02 03:00:00,buy,2.3,34.2,-1.0,0.0,未成交,1
2018-09-03 03:00:00,buy,2.3,52.8,-1.0,0.0,未成交,1
2018-09-04 03:00:00,buy,2.3,19.1,-1.0,0.0,未成交,1
2018-09-05 03:00:00,buy,2.3,23.3,-1.0,0.0,未成交,1
2018-09-06 03:00:00,buy,2.3,23.0,-1.0,0.0,未成交,1
2018-09-07 03:00:00,buy,2.3,23.3,-1.0,0.0,未成交,1
2018-09-08 03:00:00,buy,2.3,34.6,-1.0,0.0,未成交,1
2018-09-09 03:00:00,buy,2.3,27.5,-1.0,0.0,未成交,1
2018-09-10 03:00:00,buy,2.3,32.4,-1.0,0.0,未成交,1
2018-09-11 03:00:00,buy,2.3,19.1,-1.0,0.0,未成交,1
2018-09-12 03:00:00,buy,2.3,14.8,-1.0,0.0,未成交,1
2018-09-13 03:00:00,sell,2.0,-1.1,-1.0,0.0,未成交,1
2018-09-14 03:00:00,buy,2.3,15.8,-1.0,0.0,未成交,1
2018-09-15 03:00:00,buy,2.3,24.3,-1.0,0.0,未成交,1
2018-09-16 03:00:00,buy,2.3,35.1,-1.0,0.0,未成交,1
2018-09-17 03:00:00,buy,2.3,5.6,-1.0,0.0,未成交,1
2018-09-18 03:00:00,buy,2.3,36.9,-1.0,0.0,未成交,1
2018-09-19 03:00:00,buy,2.3,30.8,-1.0,0.0,未成交,1
2018-09-20 03:00:00,buy,2.3,40.7,-1.0,0.0,未成交,1
2018-09-21 03:00:00,buy,2.3,45.3,-1.0,0.0,未成交,1
2018-09-22 03:00:00,buy,2.3,33.6,-1.0,0.0,未成交,1
2018-09-23 03:00:00,buy,2.3,17.5,-1.0,0.0,未成交,1
2018-09-24 03:00:00,buy,2.3,27.9,-1.0,0.0,未成交,1
2018-09-25 03:00:00,buy,2.3,24.1,-1.0,0.0,未成交,1
2018-09-26 03:00:00,buy,2.3,12.7,-1.0,0.0,未成交,1
2018-09-27 03:00:00,buy,2.3,26.2,-1.0,0.0,未成交,1
2018-09-28 03:00:00,buy,2.3,45.5,-1.0,0.0,未成交,1
2018-09-29 03:00:00,buy,2.3,47.3,-1.0,0.0,未成交,1
2018-09-30 03:00:00,buy,2.3,60.1,-1.0,0.0,未成交,1
2018-09-01 03:00:00,buy,2.3,24.4,-1.0,0.0,未成交,2
2018-09-02 03:00:00,buy,2.3,19.0,-1.0,0.0,未成交,2
2018-09-03 03:00:00,buy,2.3,15.7,-1.0,0.0,未成交,2
2018-09-04 03:00:00,buy,2.3,15.2,-1.0,0.0,未成交,2
2018-09-05 03:00:00,buy,2.3,24.8,-1.0,0.0,未成交,2
2018-09-06 03:00:00,buy,2.3,23.6,-1.0,0.0,未成交,2
2018-09-07 03:00:00,buy,2.3,24.9,-1.0,0.0,未成交,2
2018-09-08 03:00:00,buy,2.3,27.5,-1.0,0.0,未成交,2
2018-09-09 03:00:00,buy,2.3,33.5,-1.0,0.0,未成交,2
2018-09-10 03:00:00,buy,2.3,23.6,-1.0,0.0,未成交,2
2018-09-11 03:00:00,buy,2.3,15.6,-1.0,0.0,未成交,2
2018-09-12 03:00:00,buy,2.3,27.9,-1.0,0.0,未成交,2
2018-09-13 03:00:00,buy,2.3,14.0,-1.0,0.0,未成交,2
2018-09-14 03:00:00,buy,2.3,25.0,-1.0,0.0,未成交,2
2018-09-15 03:00:00,buy,2.3,16.5,-1.0,0.0,未成交,2
2018-09-16 03:00:00,buy,2.3,20.8,-1.0,0.0,未成交,2
2018-09-17 03:00:00,buy,2.3,30.2,-1.0,0.0,未成交,2
2018-09-18 03:00:00,buy,2.3,39.5,-1.0,0.0,未成交,2
2018-09-19 03:00:00,buy,2.3,33.4,-1.0,0.0,未成交,2
